text,created_at,geo,lang,place,coordinates,user.favourites_count,user.statuses_count,user.description,user.location,user.id,user.created_at,user.verified,user.following,user.url,user.listed_count,user.followers_count,user.default_profile_image,user.utc_offset,user.friends_count,user.default_profile,user.name,user.lang,user.screen_name,user.geo_enabled,user.profile_background_color,user.profile_image_url,user.time_zone,id,favorite_count,retweeted,source,favorited,retweet_count
Heading off #skiing or #snowboarding this season? Here's an overview of what you should consider when taking out… https://t.co/l6KQ5hdw0H,2018-01-16 15:13:23,,en,,,839,4971,"Endsleigh, the only insurance provider recommended by NUS, provides affordable cover for students throughout university and beyond. We’re here 9-5, Mon to Fri.",,33463053,2009-04-20 08:38:38,True,False,http://www.endsleigh.co.uk,61,4351,False,3600,1300,False,Endsleigh,en,Endsleigh,False,C0DEED,http://pbs.twimg.com/profile_images/917364800711200768/ItuNKbd-_normal.jpg,Amsterdam,953284050298527745,0,False,Twitter Web Client,False,0
Way to ROCK IT Ladies!  @UConnWBB https://t.co/jYB0e98FB9,2018-01-16 15:13:23,,en,,,1270,5583,"Social Media Expert, LinkedIn Specialist, Sports Fanatic, Cities & Small towns, Rotary, Cats & Dogs, Law of Attraction, Bashar","Las Vegas, NV",39878070,2009-05-14 00:14:00,False,False,http://www.pimedia.me,81,3185,False,-28800,589,False,"Debbie Harris, MA",en,DebbieLHarris,True,C0DEED,http://pbs.twimg.com/profile_images/738072173307265024/px1CgtF9_normal.jpg,Pacific Time (US & Canada),953284051028213760,0,False,Twitter Web Client,False,0
These assets are seeing a jump in tweets #ArtificialIntelligence #Machinelearning $ETH $Nikkei $SENSEX… https://t.co/hhI3vkNcNU,2018-01-16 15:13:23,,en,,,435,209869,"Financial #bigdata crowd-sourced, crowd-curated real-time news from 200+ news publications and from Twitter for FREE",London,3170121190,2015-04-15 13:32:42,False,False,http://www.cityfalcon.com,598,1154,False,0,841,True,FinBuzz,en-gb,PortfolioBuzz,False,C0DEED,http://pbs.twimg.com/profile_images/899606375705309184/sXlLwvtq_normal.jpg,Dublin,953284050021732352,0,False,Twitter tweets 111,False,0
NEW ALBUM: DAVE EAST ‘PARANOIA 2’ – TrendsetterNY https://t.co/hl1Tehkouj,2018-01-16 15:13:24,,en,,,22,28515,"STREETWEAR SHOPPE WE CARRY 10 DEEP, EMBELLISH NYC DENIM, + MORE. 128 A. Main St. Nyack, NY. 10960",TrendsetterNY ,203570081,2010-10-16 15:44:16,False,False,http://WWW.TRENDSETTERNY.COM,25,475,False,-18000,276,False,TRENDSETTERNY,en,TRENDSETTERNY,False,1A1B1F,http://pbs.twimg.com/profile_images/3578083319/0da8080324ff0e62a6142ad2f23834da_normal.jpeg,Eastern Time (US & Canada),953284055310647296,0,False,Facebook,False,0
@NameFieldmt @csamudhan #kbye https://t.co/NDsaIE49AW,2018-01-16 15:13:25,,und,,,3162,11847,Loves cricket and badminton. Twitter addict. Not what you would expect.,chennai,413205394,2011-11-15 16:14:09,False,False,,2,355,False,-36000,569,False,Harini Venkataraman,en,ImVHarini,True,ACDED6,http://pbs.twimg.com/profile_images/947295249990270976/tk0KsBId_normal.jpg,Hawaii,953284059219705856,0,False,Twitter for Android,False,0
Stick War: Legacy 1.6.06 cheat - Unlimited Gems https://t.co/85ftAG3EWW https://t.co/B6doOyMESI,2018-01-16 15:13:25,,en,,,0,550,"Play your android games easier with eazycheat - get unlimited money, coins, gems, golds, all item unlocked and owned instantly!",,1213168921,2013-02-23 18:29:19,False,False,http://www.eazycheat.com/,2,245,False,0,33,False,Eazy Cheat,en,EazyCheat,False,000000,http://pbs.twimg.com/profile_images/926125040550084608/v0R9vtuE_normal.jpg,UTC,953284058452144128,0,False,Twitter Web Client,False,0
Hilarious! #postcards https://t.co/2ISHEN8Txa,2018-01-16 15:13:25,,en,,,8894,48475,International bestselling author. Editor. Culture junkie & foodie. Traveler & wino. Next up: THE PHANTOM'S APPRENTICE 2/6/18. My muscle: @michellebrower,New England,122668948,2010-03-13 13:40:56,False,False,http://www.HeatherWebb.net,630,10794,False,-18000,7889,False,Heather Webb,en,msheatherwebb,False,07090B,http://pbs.twimg.com/profile_images/947463276375486465/7yLHeRaN_normal.jpg,Eastern Time (US & Canada),953284058771087360,0,False,Twitter Web Client,False,0
@SporTV - 1,2018-01-16 15:13:25,,und,,,2145,2919,,,922234118586462209,2017-10-22 22:52:02,False,False,,1,40,False,,843,True,CarlosRN,pt,Carlos90909090,False,F5F8FA,http://pbs.twimg.com/profile_images/950111894009974784/rtE8LCNj_normal.jpg,,953284059517644802,0,False,Twitter for Android,False,0
wtf https://t.co/2d0JxNQ1gL,2018-01-16 15:13:25,,und,,,49869,211689,I have the power of God and Anime on my side.,"Gotham City, NJ",34349708,2009-04-22 18:18:32,False,False,https://maiorpordentro.tumblr.com/,112,2114,False,-10800,4736,False,cardcaptor morgana,pt,morganarosana,False,022330,http://pbs.twimg.com/profile_images/950050128857100289/xj-gRzeI_normal.jpg,Santiago,953284058951319555,0,False,Twitter Web Client,False,0
"Mazing, Christmast, party, event, ( part3), ABI 1 (Samiki), 2017: https://t.co/kaY2aFWYmG via @YouTube",2018-01-16 15:13:25,,et,,,0,473,,,929650623573721088,2017-11-12 10:02:35,False,False,,0,2,False,,73,True,KhmerDaily,en,khmerdaily623,False,F5F8FA,http://pbs.twimg.com/profile_images/929651384542142464/1v1GP5hY_normal.jpg,,953284059349897217,0,False,Google,False,0
https://t.co/hqSWBhHCsJ,2018-01-16 15:14:49,,und,,,22,2769,,,3162735673,2015-04-18 15:19:23,False,False,,9,3335,False,-28800,108,True,anuty,en,Babu72Tamilo,False,C0DEED,http://pbs.twimg.com/profile_images/896451571021737984/y4K21uVq_normal.jpg,Pacific Time (US & Canada),953284411352670208,0,False,Twitter for Android,False,0
